wavelength_nm,reference_normalized,candidate_normalized,signed_residual,squared_residual_fraction
380,1.9076571920913025e-05,7.9843305344358221e-06,-1.1092241386477203e-05,0.00018873351307624697
390,2.1032482436033347e-05,9.183656858201996e-06,-1.1848825577831351e-05,0.00021535800170176418
400,9.4993296129506784e-05,0.00012390491856102839,2.8911622431521602e-05,0.0012821986850108382
410,0.00072055180340043336,0.00069504903897043343,-2.5502764429999932e-05,0.00099766541793197333
420,0.0016075388857287188,0.0015439852522852351,-6.3553633443483694e-05,0.0061957112514659301
430,0.0020242656201413974,0.0020064983322151835,-1.7767287926213817e-05,0.00048423110194038252
440,0.0021884644510069837,0.002169882247286765,-1.8582203720218706e-05,0.00052966933936128807
450,0.0021544250760364091,0.002243907149648608,8.9482073612198905e-05,0.01228237857133666
460,0.0025423056259729717,0.0025620274097749342,1.9721783801962458e-05,0.0005966268404306211
470,0.0025454463464641502,0.0025488703483668527,3.4240019027025233e-06,1.7983672894720569e-05
480,0.0024551662378049875,0.00244321462720471,-1.1951610600277433e-05,0.00021911054015413651
490,0.0025408041716031269,0.0025384715760692796,-2.3325955338473515e-06,8.3462094534647137e-06
500,0.0027322717198330843,0.0028027428755236085,7.0471155690524177e-05,0.0076178635155094484
510,0.0027875587710594978,0.0028535655697153142,6.6006798655816358e-05,0.0066832505016921834
520,0.0027274040629776401,0.0027675943915152238,4.0190328537583701e-05,0.0024777273378618959
530,0.0035472564423579679,0.0039576192814134888,0.00041036283905552086,0.25831311193043072
540,0.0056741134100983118,0.0051028430678193189,-0.00057127034227899293,0.50060335518965438
550,0.0034649731144474477,0.0034332968322083788,-3.1676282239068935e-05,0.0015391424195909855
560,0.0032549306277729292,0.0033552137329680072,0.00010028310519507797,0.015426448232634228
570,0.0038471876385913297,0.0037773961086817933,-6.9791529909536427e-05,0.007471638257943336
580,0.0035934239817148684,0.0037855339633238909,0.00019210998160902257,0.056612229781568775
590,0.0050664854004922929,0.0051785838855902978,0.00011209848509800488,0.019275687951769659
600,0.0055379650651256425,0.0054221497885323829,-0.0001158152765932596,0.020575106757491961
610,0.0049696654909118934,0.0048342851014736947,-0.00013538038943819875,0.028113953230534512
620,0.0041788032749295921,0.0042595413779762019,8.0738103046609777e-05,0.009999251288518687
630,0.0039912990421520286,0.0039829295331138201,-8.3695090382085446e-06,0.00010745097615976876
640,0.0038328715837083584,0.0038693166035808761,3.6445019872517661e-05,0.0020374491691119508
650,0.0035140909758767298,0.0035778193713428947,6.3728395466164899e-05,0.0062298324715438372
660,0.0034506041403360296,0.003396864187709913,-5.3739952626116576e-05,0.0044300125686802458
670,0.0030759197024941079,0.0030974208368696344,2.150113437552649e-05,0.00070914190010658697
680,0.0029731994356035382,0.0029127123359740364,-6.0487099629501825e-05,0.0056122359433250701
690,0.0024585369128682839,0.0024424176466414501,-1.611926622683375e-05,0.00039856663154711142
700,0.0020408169336209518,0.0019452335145407728,-9.5583419080178976e-05,0.014014432714766496
710,0.0016243448220126903,0.0015820202639334059,-4.2324558079284442e-05,0.0027478641896245153
720,0.0014604783055585889,0.0014323920405608216,-2.8086264997767302e-05,0.0012100362421931063
730,0.0012817285768105724,0.0013375288012151083,5.5800224404535916e-05,0.004776197652982604
