R_DN,G_DN,B_DN
7677.1114752350286,7639.6846534290726,8712.5467528085101
1675.0507632526844,1658.6290152841639,1908.2708721847655
120.39038367365734,117.83617877093637,138.86212108756615
8096.2021536326283,8042.8243533718987,9147.8298671994744
1687.6828932932747,1665.3056846553279,1904.7300957719572
91.257203461063554,87.949668420088756,102.22524778251457
8507.0930923714186,8427.769952964567,9557.2033978536856
1723.1696588473164,1695.6662398757519,1936.3777971597949
89.099541046687378,85.802055429063103,99.705901239030865
8588.2105113611851,8512.2605308493148,9684.6256723399674
1746.8896928039571,1721.7392387396792,1972.5718474193927
134.83950806007493,131.97707614383017,155.03676864495637
1775.0214828911621,1753.4900990431686,2017.4946818026438
8183.182071126138,8122.1015095973016,9262.7228206990221
335.27490407085958,335.74123065523912,401.76333941052326
2142.7911411169343,709.72889159560816,1150.5300435969614
619.98961218089164,460.08494699346807,813.02676321162176
6054.5977789286871,6312.9492852770718,7894.8223124460346
1167.9290713020728,568.05177922139023,389.61833909714551
4661.2719714795203,2657.4741938772195,2513.7161528446236
1291.7705306825217,1818.6023052514834,3061.4026577365421
790.00866936447983,986.18427791065187,516.26579801996331
2176.086551836373,2247.0320611625643,3848.5815761847252
2444.6964228273164,4399.5996298962109,4907.5723949820795
7527.9455783186195,5871.8357818477825,5542.4724645806136
1020.2890403523169,314.3157559702496,334.0958654894032
4002.7885082450116,913.25347287081206,1124.8552153435094
2004.0675164344959,1985.6478014282141,2289.6607734397421
2236.6793657497501,2228.9158040694506,2582.702491101244
4316.8390110446517,3183.4881261575192,4782.3665712168859
1652.2036758947788,1655.6715447823044,3339.2478358111503
7779.6668921055234,6221.1252260251613,7279.528265211361
5166.2410000219334,1929.5198515968934,622.71472541520802
825.28599073489715,1350.5877994963803,3481.4852894578785
4200.8812062680208,1095.0362894653613,1010.9177791857779
740.80601975955744,409.62533254320493,908.9586887000703
3514.9483104736478,3941.3701343298681,1616.3784540356583
5816.4723730252181,3141.857829305578,904.4270650076129
6451.4709625915302,7715.9894220455708,8036.6715973863602
4554.133676205186,804.12065768078344,476.74603675440613
1213.6659372326869,597.44345043862768,808.99011771455628
551.57466563511139,557.79365750786985,665.42550002099767
9238.8933891492325,9188.0623703545334,10472.506446431489
2187.4730106134948,1312.3840854421715,2571.1960716277194
622.21848997315681,900.44118906629205,1775.7310303614781
5299.1191903829922,7018.4331663601833,7936.455909670849
355.4120621748894,755.20565547206877,2411.8418935973291
1121.3763652702698,2245.1548690943032,1226.9838727063661
3646.6909413817475,530.6311699145773,302.03171187876836
7198.9173911579428,4904.7333965067783,1520.9603494288883
4627.2092963311361,1550.8158306977323,2621.2657546867335
957.04980612280724,2564.060376121216,4350.4372785994092
7628.8386903531846,7092.9147805548437,8708.7351276737263
5571.7480269317666,2822.1287322247058,3381.1325232955646
4529.4228824559386,1092.5904206575178,1033.8450715901674
9806.4290062319506,9709.2927081701037,11004.71239138057
1797.6848898872215,1824.5313715814516,2182.2315115932565
2142.4035939893233,3777.6222791509649,7082.040944465939
2652.7334615331652,4191.1691932971571,6769.5469310397802
8485.6753232869705,6633.179045683748,7140.9367585588516
9641.3506199373587,9547.9226825957558,10751.847824234017
6143.7754141289124,6027.1082750293517,6830.7439570620591
3794.0429658519993,3741.8276162342718,4248.9375195086632
2021.9795784327741,1986.7416865666662,2232.9387400798014
1048.4740775119935,1041.702448809302,1187.9420119693195
393.19116932586712,395.59043731060416,463.42482698224961
6132.4161300354053,7577.8652896819385,9261.8551795630592
6148.3595540187016,2972.6123454178191,2931.6535782981591
7058.4392689772158,1872.2956384668103,1390.2469378965084
3362.0327754368018,3353.4687585490733,3874.9041886983191
4263.4071900177187,4257.6576564568768,4945.8050362026652
2832.7596555122541,4888.3845829722404,7148.055373967296
789.87076082625515,1075.1976610935212,1643.4957172024601
6644.9670799665182,6661.0293029113855,5503.174548951758
230.32962117667634,226.91622616829051,266.30614365481898
822.83583926009157,826.54602407185212,956.05914728664993
1334.7701958907478,1334.7101839226445,1527.5566308365226
3235.182169528433,3198.2936824681447,3623.7979889672242
5579.7080039874681,5464.117394382899,6163.0987118404018
8378.5210375453262,8286.3418298602883,9368.9861233172232
5000.0403694959641,4921.6157819317232,5583.589447360363
7575.515195551242,2436.8306085445229,1043.177705380735
9405.0674809769225,5502.0768897313701,2356.2456984457008
1478.4719982052918,1494.544860267009,1762.7225654416659
10490.417002649336,10363.025980170616,11774.702034395988
1045.5489312389921,1298.7034712383047,1622.8522054588523
3173.489479538212,4157.8065924468601,6841.1172381299903
5351.1146108523799,2716.5904962166628,1978.3452564063448
7430.6212915679798,4827.5741764560144,4257.1312689793276
5101.1695902222118,3243.982305662465,2623.1675441926627
2330.6467638074391,1280.6865065502725,870.1787101761048
5434.2415008697371,3690.9199612507668,3463.0742082812776
2830.6691567913249,1253.442468322985,692.73746499194817
5388.1269836328311,2971.5190655723909,2347.3162153875337
1896.4955016318099,1879.489345689329,2122.866419817457
4845.02819968331,4533.6640318428836,1337.3187682853652
7946.1580207735669,5645.1709615340151,2079.359821497651
10370.658673610289,10254.571860889078,11576.647172715519
1016.0586570088863,1031.2460503735504,1234.3156782583337
2161.1921277762531,4128.1628721024954,5350.4386142993862
1275.1176929649851,2893.687773535115,3694.0581732282326
5369.0927002175758,3246.4544056723275,3121.487715502913
7321.9343371131781,4057.0389909519813,3521.0304070868951
4959.3123752955689,3325.4051743318328,3063.1619767219186
5200.2867455431006,3311.3108924876242,3109.6327279122434
5310.6198029710613,3340.1592004900222,3059.2771086901098
1664.1541998216285,826.36004797875137,501.58913778543331
5635.3376480666739,3282.1830830788931,2598.6135788148017
445.73093361202552,437.40206231714086,498.91655900439326
3902.2069926748914,2958.6921394235469,1320.8190131456013
4186.2446176783315,4272.5897299201961,1661.5621086148221
2588.8709849600791,2575.068750092656,2948.3767525002409
2324.8592024370832,2313.1240924477361,2665.8448268289617
655.65964377301577,598.80353570313548,606.40975812554814
1848.5548115191648,3315.0857089531291,2771.6133664035133
918.90549371226109,2355.7240412944525,2050.7617807750439
263.68103051095301,475.28901540685223,439.26877398590074
1614.5803966896926,3405.2970390838868,3326.7629903514999
1951.6595960165357,3065.5502831171875,1529.7657590323881
861.80586007640431,2176.3349669998761,911.29753956411776
1552.2273454300582,3349.1936563626982,1699.17316377927
4357.8093007521084,2524.6995203931942,1152.2955683286389
2781.2768806673507,3037.876181001946,1236.8601257787441
3498.437479649504,4327.1222271284551,1524.4410605873568
716.97493099086239,450.44568680844674,388.71148733469784
373.83760546147312,374.20172887939947,442.04982756683415
8630.7659301009662,8565.904278797665,9723.5198721843681
1986.6566499613293,1965.3728506480202,2252.61699117431
199.8269314088254,197.78120460945047,232.53645175283557
9231.9684113738967,9136.0965406796349,10309.452148419801
1935.724663073227,1903.8539711691253,2159.1778143388815
108.24441139306825,105.88721179435724,121.88613087988794
9752.8554371050832,9629.4689816980408,10805.790160202785
1967.9746882156703,1930.9222518942042,2171.2008329642863
107.28457702452344,103.1790681387034,116.96210678478498
9852.7237568940491,9720.7991781101227,10879.082844868628
2001.028296242401,1966.155355873726,2215.5809673267026
157.60658202146615,154.92574039815784,178.56016268143273
2027.8688349842935,1999.5975312858275,2269.005920601815
9278.6706105902631,9197.8729395512401,10364.445795878277
