id,input_r,input_g,input_b,input_in_destination,modified,branch,output_r,output_g,output_b,mapping_coordinate_space,input_Lstar,input_Cstar,input_Lab_hue_degrees,output_Lstar,output_Cstar,output_Lab_hue_degrees,input_OkLab_L,input_OkLab_a,input_OkLab_b,input_OkLCh_C,input_OkLCh_h_degrees,input_OkLCh_hue_defined,output_OkLab_L,output_OkLab_a,output_OkLab_b,output_OkLCh_C,output_OkLCh_h_degrees,output_OkLCh_hue_defined,input_mapping_chroma,output_mapping_chroma,boundary_diagnostics_applicable,source_connected_boundary_mapping_chroma,destination_connected_boundary_mapping_chroma,knee_mapping_chroma,destination_boundary_utilization,local_minde_applicable,local_minde_iterations,local_minde_final_delta_e_ok,local_minde_returned_clipped_color,delta_e_2000,delta_e_ok,delta_Lstar,delta_Cstar,delta_Lab_hue_degrees,input_IPT_hue_degrees,output_IPT_hue_degrees,delta_IPT_hue_degrees,IPT_hue_defined,destination_margin_before,destination_margin_after,output_in_destination
p3_r000_g000_b000,0,0,0,true,false,identity_no_gamut_contraction,0,0,0,CIELAB_D65,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,false,0,0,false,0,0,0,0,false,0,0,false,0,0,0,0,0,0,0,0,false,0,0,true
p3_r000_g000_b025,0,0,0.25,true,true,protected_core_asymptotic_soft_chroma_compression,0.029036056750215328,0.0051920408735608532,0.2355325470417895,CIELAB_D65,3.6437238555324041,46.602314193127008,302.73212018833499,3.6437238555324041,40.777024920418611,302.73212018833499,0.17280635138141928,-0.012408409812860007,-0.1190982563111391,0.11974290496909479,264.05202261636992,true,0.17165012861694101,0.0060796877159403949,-0.10494797622624509,0.10512392837364794,273.31546707297503,true,46.602314193127008,40.777024920418611,true,46.602314195813925,46.60231419541897,34.951735646564231,0.87499999998770472,false,0,0,false,1.9649573146355415,0.023310448897361058,0,-5.825289272708396,0,252.41553410689085,259.26279845649435,6.8472643496035062,true,-3.257742130615647e-18,0.00040186074872762019,true
p3_r000_g000_b050,0,0,0.5,true,true,protected_core_asymptotic_soft_chroma_compression,0.08775748551092788,0.029395687404507039,0.47115224157544383,CIELAB_D65,13.809698238520093,82.582120639327201,306.28880325729324,13.809698238520093,72.25935556008919,306.28880325729324,0.27896788874266271,-0.020031369567585958,-0.1922648609293153,0.19330554186293306,264.05202261636987,true,0.27644033534323859,0.0065655102394839562,-0.16832040799469791,0.16844840655882243,272.23374827409668,true,82.582120639327201,72.25935556008919,true,82.5821206405829,82.582120640411816,61.936590480308865,0.87499999999671663,false,0,0,false,2.3021839021304187,0.035876445866289082,0,-10.32276507923801,0,252.41553410689082,258.53878188537021,6.1232477784793957,true,-6.0693347582064394e-17,0.0022752080034448173,true
p3_r000_g000_b075,0,0,0.75,true,true,protected_core_asymptotic_soft_chroma_compression,0.15206265916745371,0.066203218187509058,0.70815775579571716,CIELAB_D65,24.138385295852164,111.19579105589834,306.28880325729324,24.138385295852164,97.29631717427398,306.28880325729324,0.37562676797090944,-0.026971988219202919,-0.25888222702174574,0.26028349086378016,264.05202261636998,true,0.37222344897738735,0.0088403773020913762,-0.22664132106100232,0.22681366952439103,272.233748274395,true,111.19579105589834,97.29631717427398,true,111.19579105657462,111.19579105647904,83.396843292359279,0.87499999999869438,false,0,0,false,2.4423311769634544,0.048307184989108576,0,-13.89947388162436,0,252.4155341068909,258.5387818856093,6.1232477787183939,true,-3.4137194283726185e-17,0.0055542837182124966,true
p3_r000_g000_b100,0,0,1,false,true,protected_core_asymptotic_soft_chroma_compression,0.24110965878835167,0.12100335588997944,0.91824117903583102,CIELAB_D65,33.833932651533601,138.05546789612066,306.28880325729324,33.833932651533601,115.95024894880446,306.28880325729324,0.46636054039547847,-0.033487152870911197,-0.32141600542695198,0.3231557487528548,264.05202261636987,true,0.46081467942537957,0.020331023522257043,-0.2700763430506557,0.27084050951266136,274.30503781732909,true,138.05546789612066,115.95024894880446,true,138.05546789614351,130.60352331950358,97.952642489627692,0.88780337621633765,false,0,0,false,3.2918538824685273,0.07458494229466113,0,-22.105218947316203,0,252.41553410689085,260.22930667840126,7.8137725715104125,true,-0.098273600140966533,0.013597039953695,true
p3_r000_g025_b000,0,0.25,0,false,true,protected_core_asymptotic_soft_chroma_compression,0.028112027597589285,0.24282669078998717,0.061596085201854958,CIELAB_D65,22.013968762866881,55.017193352189501,140.93372179278074,22.013968762866881,36.282540556819328,140.93372179278074,0.31452723877378436,-0.11273401451586239,0.077060736709585562,0.13655517262662276,145.64495558662844,true,0.31841192176746613,-0.0760008145234745,0.05304082975318615,0.092679304211555499,145.08888225288314,true,55.017193352189501,36.282540556819328,true,55.017193354297078,38.950393563775748,29.212795172831811,0.9315063915185301,false,0,0,false,6.1383932129772978,0.04406103350848968,0,-18.734652795370174,0,132.21265581008873,134.72215784605118,2.5095020359624414,true,-0.011444076241775302,0.0021758535292251769,true
p3_r000_g025_b025,0,0.25,0.25,false,true,protected_core_asymptotic_soft_chroma_compression,0.034995499665321277,0.24583474490511611,0.24203937338385206,CIELAB_D65,23.414146652471725,24.793736846297335,194.36922947246444,23.414146652471725,17.234463938261428,194.36922947246444,0.3308579029998695,-0.074213882287440677,-0.017321578863014702,0.076208512769124021,193.13768775138286,true,0.33354667172680968,-0.051325578417892904,-0.011918862499836395,0.052691311268759297,193.07355062317274,true,24.793736846297335,17.234463938261428,true,24.793736846955447,18.637324073390936,13.977993055043202,0.92472845728253372,false,0,0,false,4.3246752734480998,0.02367051489496335,0,-7.5592729080359078,0,200.55871878735934,200.02635073147209,-0.53236805588724678,true,-0.011444076241775314,0.0027086300050558265,true
p3_r000_g025_b050,0,0.25,0.5,false,true,protected_core_asymptotic_soft_chroma_compression,0.084370880430314987,0.25365749088249484,0.46262295287089644,CIELAB_D65,27.342491558292636,44.304500837369226,279.97379350519077,27.342491558292636,35.255933784753779,279.97379350519077,0.37507066596200828,-0.047578283357625969,-0.12620061109438868,0.1348713731221555,249.34329750316016,true,0.37520563078528441,-0.025382279240631855,-0.099460509218378026,0.10264820014704823,255.68371225088049,true,44.304500837369226,35.255933784753779,true,44.304500837852565,39.121897747984079,29.341423310988059,0.90118158408024795,false,0,0,false,3.2434158305544734,0.03475217781095985,0,-9.0485670526154465,0,245.50248316002475,249.38426970815647,3.8817865481317142,true,-0.011444076241775255,0.0077661719401556587,true
p3_r000_g025_b075,0,0.25,0.75,false,true,protected_core_asymptotic_soft_chroma_compression,0.14879101218069754,0.26269181712581879,0.70043942004904347,CIELAB_D65,33.269250129051159,82.574642306653772,296.17249256668731,33.269250129051159,69.27543187537276,296.17249256668731,0.43808726249244134,-0.040130365676377275,-0.21534749067694062,0.21905476025454182,259.44391755664032,true,0.43644852287795538,-0.0093142599310927342,-0.17983014312720333,0.18007119651741751,267.03502806790499,true,82.574642306653772,69.27543187537276,true,82.57464230708959,78.002717665813819,58.502038249360368,0.88811561889636625,false,0,0,false,3.0111831651003835,0.047051034184143858,0,-13.299210431281011,0,251.3132643619789,256.48496526272339,5.1717009007444972,true,-0.011444076241775337,0.01933028067978752,true
p3_r000_g025_b100,0,0.25,1,false,true,protected_core_asymptotic_soft_chroma_compression,0.22903151449443082,0.27704542407146382,0.92678505146057288,CIELAB_D65,40.324977164308876,116.98360607251936,301.04066583008631,40.324977164308876,97.98421482821432,301.04066583008631,0.50984474842907157,-0.040720670113273613,-0.29098723069994348,0.29382263596410707,262.03377731507305,true,0.50645687006508,0.0034364922824958559,-0.24305168735316687,0.24307598031156685,270.81004739090281,true,116.98360607251936,97.98421482821432,true,116.98360607257041,110.27258510381357,82.704438827860173,0.88856368730241841,false,0,0,false,3.255118803524661,0.065262156159647824,0,-18.999391244305045,0,252.39026536944232,258.6656796605738,6.275414291131483,true,-0.094272905754069658,0.042881875119855632,true
