patch_id,reflectance_rms,delta_e_76
patch_01,0.001528934086,0.470755950519
patch_02,0.006269868879,0.665791408635
patch_03,0.006554660856,0.722317110909
patch_04,0.002276995008,0.536069050146
patch_05,0.004611907832,0.858858322592
patch_06,0.005002688803,1.052556894266
patch_07,0.005440767613,1.287871971576
patch_08,0.005014082998,1.214992801908
patch_09,0.006110330615,0.905500761297
patch_10,0.003259532246,0.780837722893
patch_11,0.005271876086,1.419759727346
patch_12,0.004282969342,1.284793566759
patch_13,0.003885259590,1.082758181971
patch_14,0.004616287692,1.317339378676
patch_15,0.007137538798,1.418780439027
patch_16,0.006333599352,1.044583636786
patch_17,0.008524702013,1.530188045446
patch_18,0.004470557100,1.952281070158
patch_19,0.008032704142,0.192829223646
patch_20,0.005949007614,0.197194910073
patch_21,0.002870771472,0.083632390429
patch_22,0.001123442508,0.107815629787
patch_23,0.000898777217,0.149260412067
patch_24,0.000495711391,0.158455572357
